#Space group umber,Space group ame,reflectio coditio
195,P23,"[[0,0,0]]"
198,P213,"[[2,0,0]]"
207,P432,"[[0,0,0]]"
208,P4232,"[[2,0,0]]"
212,P4332,"[[4,0,0]]"
213,P4132,"[[4,0,0]]"
197,I23,"[[0,0,0]]"
199,I213,"[[0,0,0]]"
211,I432,"[[0,0,0]]"
214,I4132,"[[4,0,0]]"
196,F23,"[[0,0,0]]"
209,F432,"[[0,0,0]]"
210,F4132,"[[4,0,0]]"
146,R3,"[[0,0,0]]"
155,R32,"[[0,0,0]]"
143,P3,"[[0,0,0]]"
144,P31,"[[0,0,3]]"
145,P32,"[[0,0,3]]"
149,P312,"[[0,0,0]]"
151,P3112,"[[0,0,3]]"
153,P3212,"[[0,0,3]]"
150,P321,"[[0,0,0]]"
152,P3121,"[[0,0,3]]"
154,P3221,"[[0,0,3]]"
168,P6,"[[0,0,0]]"
169,P61,"[[0,0,6]]"
170,P65,"[[0,0,6]]"
171,P62,"[[0,0,3]]"
172,P64,"[[0,0,3]]"
173,P63,"[[0,0,2]]"
177,P622,"[[0,0,0]]"
178,P6122,"[[0,0,6]]"
179,P6522,"[[0,0,6]]"
180,P6222,"[[0,0,3]]"
181,P6422,"[[0,0,3]]"
182,P6322,"[[0,0,2]]"
75,P4,"[[0,0,0]]"
76,P41,"[[0,0,4]]"
77,P42,"[[0,0,2]]"
78,P43,"[[0,0,4]]"
89,P422,"[[0,0,0]]"
90,P4212,"[[0,2,0]]"
91,P4122,"[[0,0,4]]"
92,P41212,"[[0,0,4],[0,2,0]]"
93,P4222,"[[0,0,2]]"
94,P42212,"[[0,0,2],[0,2,0]]"
95,P4322,"[[0,0,4]]"
96,P43212,"[[0,0,4],[0,2,0]]"
79,I4,"[[0,0,0]]"
80,I41,"[[0,0,4]]"
97,I422,"[[0,0,0]]"
98,I4122,"[[0,0,4]]"
16,P222,"[[0,0,0]]"
17,P2221,"[[0,0,2]]"
18,P21212,"[[2,0,0],[0,2,0]]"
19,P212121,"[[2,0,0],[0,2,0],[0,0,2]]"
20,C2221,"[[0,0,2]]"
21,C222,"[[0,0,0]]"
23,I222,"[[0,0,0]]"
24,I212121,"[[0,0,0]]"
22,F222,"[[0,0,0]]"
3,P2,"[[0,0,0]]"
4,P21,"[[0,2,0]]"
5,C2,"[[0,0,0]]"
1,P1,"[[0,0,0]]"
